2026-05-22T10:41:05.560-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:41:05.560-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:48:54.881-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing OPTIONS /roles
2026-05-22T10:48:54.881-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing OPTIONS /roles
2026-05-22T10:48:54.884-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /roles
2026-05-22T10:48:54.886-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /roles
2026-05-22T10:48:54.913-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /roles
2026-05-22T10:48:54.916-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /roles
2026-05-22T10:48:56.416-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /roles
2026-05-22T10:48:56.419-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /roles
2026-05-22T10:48:56.430-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /roles
2026-05-22T10:48:56.433-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /roles
2026-05-22T10:48:56.824-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing OPTIONS /admin/users?page=0&size=10
2026-05-22T10:48:56.828-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /admin/users?page=0&size=10
2026-05-22T10:48:56.830-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /admin/users?page=0&size=10
2026-05-22T10:51:23.313-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:51:23.314-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:51:23.314-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:23.314-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:23.316-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:51:23.318-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:23.319-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:51:23.320-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:23.330-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:23.333-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:23.341-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:51:23.344-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:51:53.203-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /auth/me
2026-05-22T10:51:53.203-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing OPTIONS /auth/me
